"","email","url_1","clicks_1","url_2","clicks_2","url_3","clicks_3","url_4","clicks_4","url_5","clicks_5","url_6","clicks_6","url_7","url_chart","clicks_chart","url_question","clicks_question","url_events","clicks_events","plainTextPCT","clicks_7","url_8","clicks_8","url_9","clicks_9","url_10","clicks_10","url_11","clicks_11","url_12","clicks_12","url_13","clicks_13","url_14","clicks_14","url_15","clicks_15","url_16","clicks_16","url_17","clicks_17","url_18","clicks_18","url_19","clicks_19","url_20","clicks_20"
"11","NL 2023-02-02 Spark","https://rmi.org/cryptocurrencys-energy-consumption-problem/","148","https://rmi.org/how-to-get-your-local-government-to-100-percent-clean-electricity/","134","https://rmi.org/stop-burning-money/","58","https://rmi.org/press-release/rmi-rolls-out-community-electrification-model-to-accelerate-energy-rural-economic-growth-in-nigeria/","10",NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","31","0.043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NL 2023-02-02 Spark","https://rmi.org/cryptocurrencys-energy-consumption-problem/","141","https://rmi.org/insight/population-attributable-fraction-of-gas-stoves-and-childhood-asthma-in-the-united-states/","120","https://rmi.org/stop-burning-money/","104","https://rmi.org/press-release/rmi-rolls-out-community-electrification-model-to-accelerate-energy-rural-economic-growth-in-nigeria/","14",NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","26","0.052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","NL 2023-02-02 Spark","https://rmi.org/cryptocurrencys-energy-consumption-problem/","314","https://rmi.org/insight/population-attributable-fraction-of-gas-stoves-and-childhood-asthma-in-the-united-states/","225","https://rmi.org/stop-burning-money/","180","https://rmi.org/press-release/rmi-rolls-out-community-electrification-model-to-accelerate-energy-rural-economic-growth-in-nigeria/","19",NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","46","0.047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","NL 2023-02-05 Upcoming Events","https://rmi.org/about/","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","280","0.016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","NL 2023-02-09 Spark","https://rmi.org/clean-energy-101-methane-detecting-satellites/","199","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","100","https://rmi.org/five-key-climate-solutions/","91","https://rmi.org/economic-tides-just-turned-for-states/","90","https://rmi.org/energy-policy-simulator/","34","https://rmi.org/clean-energy-101-carbon-accounting/","32","https://rmi.org/how-to-get-your-local-government-to-100-percent-clean-electricity/","Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","19","0.072","21","https://rmi.org/how-the-second-largest-us-utility-can-cut-both-costs-and-carbon/","20","https://rmi.org/insight/transforming-existing-buildings-from-climate-liabilities-to-climate-assets/","20","https://rmi.org/ira-implementation-guidance-states/","18","https://rmi.org/meet-rmis-ceo/","16","https://rmi.org/insight/intel-from-above-spotting-methane-super-emitters-with-satellites/","14","https://rmi.org/more-women-in-science-and-leadership-for-an-equitable-clean-energy-workforce/","13","https://rmi.org/insight/accounting-for-impact/","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","NL 2023-02-09 Spark","https://rmi.org/clean-energy-101-methane-detecting-satellites/","169","https://rmi.org/economic-tides-just-turned-for-states/","122","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","112","https://rmi.org/five-key-climate-solutions/","98","https://rmi.org/clean-energy-101-carbon-accounting/","36","https://rmi.org/energy-policy-simulator/","30","https://rmi.org/how-to-get-your-local-government-to-100-percent-clean-electricity/","Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","20","0.035","25","https://rmi.org/insight/transforming-existing-buildings-from-climate-liabilities-to-climate-assets/","21","https://rmi.org/how-the-second-largest-us-utility-can-cut-both-costs-and-carbon/","16","https://rmi.org/insight/intel-from-above-spotting-methane-super-emitters-with-satellites/","15","https://rmi.org/ira-implementation-guidance-states/","13","https://rmi.org/more-women-in-science-and-leadership-for-an-equitable-clean-energy-workforce/","12","https://rmi.org/insight/accounting-for-impact/","10","https://rmi.org/meet-rmis-ceo/","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","NL 2023-02-09 Spark","https://rmi.org/clean-energy-101-methane-detecting-satellites/","366","https://rmi.org/economic-tides-just-turned-for-states/","237","https://rmi.org/five-ways-to-finance-early-coal-phaseout/","193","https://rmi.org/five-key-climate-solutions/","146","https://rmi.org/clean-energy-101-carbon-accounting/","52","https://rmi.org/energy-policy-simulator/","47","https://rmi.org/how-the-second-largest-us-utility-can-cut-both-costs-and-carbon/","Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","21","0.04","35","https://rmi.org/how-to-get-your-local-government-to-100-percent-clean-electricity/","28","https://rmi.org/insight/transforming-existing-buildings-from-climate-liabilities-to-climate-assets/","27","https://rmi.org/ira-implementation-guidance-states/","27","https://rmi.org/more-women-in-science-and-leadership-for-an-equitable-clean-energy-workforce/","25","https://rmi.org/insight/intel-from-above-spotting-methane-super-emitters-with-satellites/","18","https://rmi.org/meet-rmis-ceo/","18","https://rmi.org/insight/accounting-for-impact/","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","NL 2023-02-12 Upcoming Events","https://rmi.org/about/","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","44","0.044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","NL 2023-02-12 Upcoming Events","https://rmi.org/about/","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","62","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","NL 2023-02-12 Upcoming Events","https://rmi.org/about/","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","117","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
